"stationID","datetimePST","voltage_V","airTemp_C","snowDepth_m","accumPrecip_mm"
"CL","2023-09-22 16:00:00",13.75,14.82,0.074,114.2
"TL","2023-09-22 16:00:00",13.37,13.5,0.031,117.8
"SU","2023-09-22 15:00:00",13.82,14.11,0.004,115
"BU","2023-09-22 14:00:00",13.77,11.35,0.4,237.1
"CL","2023-09-22 04:00:00",12.82,6.22,0.268,114.2
"TL","2023-09-22 04:00:00",12.82,8.46,0.033,118
"SU","2023-09-22 03:00:00",12.94,12.73,0.003,114.9
"BU","2023-09-22 02:00:00",12.85,10.86,0.038,131.8
"SU","2023-09-29 15:00:00",13.89,11.24,0.001,138.4
"BU","2023-09-29 14:00:00",13.83,9.44,0.035,273.8
"CL","2023-09-29 04:00:00",12.77,-1.35,0.266,158.9
"TL","2023-09-29 04:00:00",12.87,4.52,0.029,158.8
"SU","2023-09-29 03:00:00",12.98,4.9,0.003,138.7
"BU","2023-09-29 02:00:00",12.92,3.81,-0.062,273.8
"CL","2023-09-28 16:00:00",13.63,5.77,0.268,157
"TL","2023-09-28 16:00:00",13.53,9.47,0.029,147.6
